Koefisien Variasi Harga Tingkat Produsen Tahun 2022-2024,,,,,
,,,,,
Kode Wilayah,Provinsi,Komoditas,Tahun,Bulan,Koefisien Variasi
11,Aceh,GKP Tingkat Petani,2022,Januari,"7,09%"
51,Bali,GKP Tingkat Petani,2022,Januari,"7,15%"
36,Banten,GKP Tingkat Petani,2022,Januari,"3,88%"
17,Bengkulu,GKP Tingkat Petani,2022,Januari,
34,D.I Yogyakarta,GKP Tingkat Petani,2022,Januari,"3,20%"
75,Gorontalo,GKP Tingkat Petani,2022,Januari,
15,Jambi,GKP Tingkat Petani,2022,Januari,"10,06%"
32,Jawa Barat,GKP Tingkat Petani,2022,Januari,"5,00%"
33,Jawa Tengah,GKP Tingkat Petani,2022,Januari,"8,02%"
35,Jawa Timur,GKP Tingkat Petani,2022,Januari,"6,12%"
61,Kalimantan Barat,GKP Tingkat Petani,2022,Januari,"2,65%"
63,Kalimantan Selatan,GKP Tingkat Petani,2022,Januari,"18,75%"
62,Kalimantan Tengah,GKP Tingkat Petani,2022,Januari,
64,Kalimantan Timur,GKP Tingkat Petani,2022,Januari,
18,Lampung,GKP Tingkat Petani,2022,Januari,"7,82%"
52,Nusa Tenggara Barat,GKP Tingkat Petani,2022,Januari,"6,47%"
53,Nusa Tenggara Timur,GKP Tingkat Petani,2022,Januari,"5,52%"
14,Riau,GKP Tingkat Petani,2022,Januari,
76,Sulawesi Barat,GKP Tingkat Petani,2022,Januari,
73,Sulawesi Selatan,GKP Tingkat Petani,2022,Januari,"5,83%"
72,Sulawesi Tengah,GKP Tingkat Petani,2022,Januari,
74,Sulawesi Tenggara,GKP Tingkat Petani,2022,Januari,"1,21%"
71,Sulawesi Utara,GKP Tingkat Petani,2022,Januari,
13,Sumatera Barat,GKP Tingkat Petani,2022,Januari,"8,75%"
16,Sumatera Selatan,GKP Tingkat Petani,2022,Januari,"4,96%"
12,Sumatera Utara,GKP Tingkat Petani,2022,Januari,"6,20%"
11,Aceh,GKP Tingkat Petani,2022,Februari,"5,74%"
51,Bali,GKP Tingkat Petani,2022,Februari,"4,02%"
36,Banten,GKP Tingkat Petani,2022,Februari,"8,74%"
17,Bengkulu,GKP Tingkat Petani,2022,Februari,
